amenities,beds,developer,district,electoral_div,lease,name,nearest_mrt_name,neighbourhood,property_type,rental,sqft,tenure,travel_time_changi,travel_time_orchard,travel_time_raffles,furnishing,amenities_count,nearest_mrt_dist_min,nearest_mrt_dist_metres,freehold_status,rental_log
"'Fun Pool', 'Clubhouse', 'Yoga Corner', 'Sky Lounge', 'Water Feature', 'Gym', 'Timber Deck', 'Library', 'Concierge', 'Wading Pool', 'Jacuzzi', 'Function Room', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool', 'Games Room''",1,City Developments Ltd,D01,Jalan Besar,Flexible,One Shenton,Downtown MRT,None,Condo,3000,538,99 Years,51,25,14,Fully Furnished,17,2,4,Non-Freehold,8.006367567650246
"'City View', 'Security', 'Aircon', 'Stove', 'Fridge', 'Sauna', 'Jacuzzi', 'Swimming Pool', 'Utility Room', 'Dryer', 'Steam Room', 'Parking', 'Mid Floor', 'Washer', 'Wading Pool', 'Gym''",4,Lucky Realty Co. Pte Ltd (Far East),D10,Tanjong Pagar,Flexible,Grange 70,,River Valley,Condo,7200,1981,Freehold,61,16,24,Partially Furnished,16,none_nearby,none_nearby,Freehold,8.881836305004146
"'Bomb Shelter', 'Loft', 'Aircon', 'Stove', 'Fridge', 'Bed', 'Study Room', 'Washer', 'Balcony''",1,,D14,Marine Parade,Flexible,Loft 33,Dakota MRT,Geylang,Condo,1600,250,Freehold,51,33,24,Fully Furnished,9,7,10,Freehold,7.3777589082278725
"'Gym', 'Pool Deck', 'Waterfall', 'Sauna', 'Wading Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool', 'BBQ', 'Hydrotherapy Pool''",2,Cairnhill Development Pte Ltd,D09,Tanjong Pagar,Flexible,Rhapsody On Mount Elizabeth,Orchard MRT,Newton,Condo,4900,1044,Freehold,55,11,18,Unknown,13,6,91,Freehold,8.496990484098719
"'Clubhouse', 'Gym', 'Pool Deck', 'Lounge', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ', 'Tennis Court''",0,Gem Homes Pte Ltd,D12,Bishan-Toa Payoh,Flexible,Gem Residences,,Toa Payoh,Condo,2100,280,99 Years,65,21,26,Fully Furnished,12,none_nearby,none_nearby,Non-Freehold,7.649692623711514
"'Swimming Pool', 'Gym', 'Security', 'BBQ', 'Parking''",4,Far East Organization,D10,Tanjong Pagar,Flexible,Orange Regency,,Tanglin,Condo,6900,1776,Freehold,60,15,25,Unknown,5,none_nearby,none_nearby,Freehold,8.83927669058535
',2,,D10,Tanjong Pagar,Flexible,Michel apartment,,Tanglin,Condo,3100,1200,-,64,15,29,Unknown,1,none_nearby,none_nearby,-,8.039157390473237
"'Jogging Track', 'Bridge', 'Function Room', 'Pavilion', 'Tennis Court', 'Clubhouse', 'Gym', 'Water Channel', 'Swimming Pool', 'Multi-purpose Hall', 'Jacuzzi', 'Fountain', 'Playground', 'Fitness Corner', 'Parking', 'Steam Room', 'Security', 'Lap Pool', 'BBQ', 'Games Room''",4,,D04,West Coast,Flexible,Caribbean At Keppel Bay,,Bukit Merah,Condo,12700,3122,99 Years,69,31,24,Unknown,20,none_nearby,none_nearby,Non-Freehold,9.449357272446683
"'Multi-purpose Hall', 'Lounge', 'Pavilion', 'Clubhouse', 'Jacuzzi', 'Gym', 'Pool Deck', 'Concierge', 'Mini Golf Range', 'Wading Pool', 'Hydrotherapy Pool', 'Fitness Corner', 'Outdoor Dining', 'Lap Pool', 'BBQ''",2,Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.,D01,Jalan Besar,Flexible,Marina One Residences,Marina Bay MRT,None,Condo,4980,1119,99 Years,50,16,8,Unknown,15,2,60,Non-Freehold,8.513185170018698
"'Dishwasher', 'Roof Terrace', 'Aircon', 'Stove', 'Fridge', 'Oven', 'Top Floor', 'Washer', 'Fibre Ready''",2,,D03,Tanjong Pagar,greater_than_or_equal_24m,Tiong Bahru Estate,,Bukit Merah,Condo,5800,1011,99 Years,66,22,19,Unknown,9,none_nearby,none_nearby,Non-Freehold,8.66561319653451
"'Clubhouse', 'City View', 'Aircon', 'Greenery View', 'Fridge', 'Walk In Closet', 'Swimming Pool', 'Dryer', 'Steam Room', 'Playground', 'Fitness Corner', 'High Floor', 'Washer', 'Gym', 'BBQ', 'Balcony''",3,Cavenagh Properties Pte Ltd,D09,Tanjong Pagar,Flexible,Waterscape At Cavenagh,,Newton,Condo,5200,1313,Freehold,52,15,16,Partially Furnished,16,none_nearby,none_nearby,Freehold,8.556413904569519
"'Clubhouse', 'Function Room', 'Water Feature', 'Aerobic Pool', 'Reflexology Path', 'Gym', 'Viewing Deck', 'Lounge', 'Wading Pool', 'Spa Pool', 'Playground', 'Fitness Corner', 'Lap Pool', 'BBQ''",2,Asset Legend Limited,D19,Aljunied,greater_than_or_equal_24m,Stars Of Kovan,Kovan MRT,Hougang,Condo,3200,732,99 Years,44,30,29,Partially Furnished,14,3,81,Non-Freehold,8.070906088787819
"'Clubhouse', 'Stove', 'Oven', 'Parking', 'Renovated', 'Closet', 'Wading Pool', 'Utility Room', 'Playground', 'Dining Room Furniture', 'Washer', 'BBQ', 'Gym', 'Fridge', 'Sauna', 'Dryer', 'Tennis Court', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'High Floor', 'Security', 'Bathtub''",1,Dover Rise Ltd (Far East Organization),D05,West Coast,Flexible,Heritage View,,Queenstown,Condo,1500,120,99 Years,79,35,34,Fully Furnished,24,none_nearby,none_nearby,Non-Freehold,7.313220387090301
"'Gym', 'Spa Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Underwater Fitness Station', 'Security', 'Outdoor Dining''",2,Uic Investments (Properties) Pte Ltd,D01,Jalan Besar,Flexible,V On Shenton,Downtown MRT,None,Condo,4300,1152,99 Years,54,24,12,Unknown,10,5,87,Non-Freehold,8.366370301681654
',2,,D10,Tanjong Pagar,Flexible,10 Tanglin,,Tanglin,Condo,4000,930,Freehold,52,9,22,Unknown,1,none_nearby,none_nearby,Freehold,8.294049640102028
"'Jogging Track', 'Clubhouse', 'Gym', 'Wading Pool', 'Spa Pool', 'Tennis Court', 'Fitness Corner', 'Parking', 'Underwater Fitness Station', 'Security', 'Lap Pool', 'Outdoor Dining', 'BBQ''",1,El Development (Sengkang) Pte Ltd,D19,Sengkang,Flexible,La Fiesta,Sengkang MRT/LRT,Sengkang,Condo,2000,452,99 Years,41,36,35,Unknown,13,2,96,Non-Freehold,7.600902459542082
"'Water Feature', 'High Ceiling', 'Stove', 'Walk In Closet', 'Oven', 'Parking', 'Outdoor Dining', 'Balcony', 'Fun Pool', 'Bomb Shelter', 'Renovated', 'Closet', 'Wading Pool', 'Lounge', 'Utility Room', 'Playground', 'Washer', 'Fibre Ready', 'Gym', 'City View', 'Fridge', 'Dryer', 'Dishwasher', 'Pavilion', 'Aircon', 'Maid Room', 'Swimming Pool', 'Spa Pool', 'High Floor', 'Security', 'Bathtub''",3,Far East Organization Centre Pte Ltd,D09,Tanjong Pagar,greater_than_or_equal_24m,Alba,,Newton,Condo,10000,2000,Freehold,59,16,21,Partially Furnished,31,none_nearby,none_nearby,Freehold,9.210340371976184
"'Penthouse', 'Clubhouse', 'Security', 'Balcony', 'Renovated', 'Aircon', 'High Ceiling', 'Stove', 'Fridge', 'Steam Room', 'Oven', 'Parking', 'Washer', 'Patio / PES', 'Lap Pool', 'Gym', 'Roof Terrace''",3,Frasers Centrepoint Homes,D09,Tanjong Pagar,Flexible,8 @ Mount Sophia,Dhoby Ghaut MRT,None,Condo,6800,2626,103 Years,48,12,12,Partially Furnished,17,3,76,Non-Freehold,8.824677891164198
"'Clubhouse', 'Basketball Court', 'Gym', 'Swimming Pool', 'Wading Pool', 'Tennis Court', 'Parking', 'Security', 'Lap Pool', 'BBQ''",2,Bishan Properties Pte Ltd,D02,Jalan Besar,greater_than_or_equal_24m,Altez,Tanjong Pagar MRT,None,Condo,7500,1173,99 Years,58,22,10,Partially Furnished,10,3,53,Non-Freehold,8.922658299524402
"'Clubhouse', 'Stove', 'Sea View', 'Oven', 'Parking', 'Fun Pool', 'Bomb Shelter', 'Closet', 'Mini Golf Range', 'TV', 'Greenery View', 'Pool Deck', 'Driving Range', 'Utility Room', 'Playground', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'BBQ', 'City View', 'Fridge', 'Dryer', 'Steam Room', 'Tennis Court', 'Aerobic Pool', 'Aircon', 'Maid Room', 'Sofa', 'Bed', 'Swimming Pool', 'Spa Pool', 'Fitness Corner', 'High Floor', 'Security', 'Bathtub''",2,Far East Organization,D05,West Coast,greater_than_or_equal_24m,Blue Horizon,,Clementi,Condo,3000,936,99 Years,90,47,43,Fully Furnished,35,none_nearby,none_nearby,Non-Freehold,8.006367567650246
"'Basketball Court', 'Gym', 'Pool Deck', 'Swimming Pool', 'Jacuzzi', 'Tennis Court', 'Parking', 'Security''",1,Bs Shenton Pte Ltd,D02,Jalan Besar,Flexible,Lumiere,Tanjong Pagar MRT,None,Condo,3100,646,99 Years,57,22,10,Unknown,8,3,42,Non-Freehold,8.039157390473237
"'Clubhouse', 'Walk In Closet', 'Sea View', 'Parking', 'City View', 'Renovated', 'Wading Pool', 'Washer', 'Fibre Ready', 'BBQ', 'Gym', 'Fridge', 'Tennis Court', 'Basketball Court', 'Aircon', 'Maid Room', 'Sofa', 'Bed', 'Swimming Pool', 'High Floor', 'Security', 'Lap Pool''",3,Bishan Properties Pte Ltd,D02,Jalan Besar,Flexible,Altez,Tanjong Pagar MRT,None,Condo,9000,1507,99 Years,58,22,10,Partially Furnished,22,3,53,Non-Freehold,9.104979856318357
"'Aircon', 'Maid Room', 'Greenery View', 'Fridge', 'Bed', 'Parking', 'Security', 'Bathtub''",3,Ho Bee Developments Pte Ltd,D15,Mountbatten,Flexible,Chelsea Lodge,,Marine Parade,Condo,3000,1200,Freehold,50,37,27,Partially Furnished,8,none_nearby,none_nearby,Freehold,8.006367567650246
"'Clubhouse', 'Gym', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Fountain', 'Parking', 'Steam Room', 'Security', 'Lap Pool', 'BBQ''",3,Ho Bee Group,D04,West Coast,Flexible,The Berth By The Cove,,None,Condo,6500,1668,99 Years,107,71,59,Unknown,11,none_nearby,none_nearby,Non-Freehold,8.779557455883728
"'Aircon', 'Closet', 'High Ceiling', 'Stove', 'Fridge', 'Oven', 'Washer', 'Fibre Ready''",1,,D05,West Coast,Flexible,Bijou,Pasir Panjang MRT,Queenstown,Condo,3400,624,Freehold,70,32,25,Partially Furnished,8,1,6,Freehold,8.131530710604252
"'Clubhouse', 'Squash Court', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', 'BBQ', 'Tennis Court''",3,Leadale Property Pte Ltd (Lum Chang),D19,Aljunied,greater_than_or_equal_24m,Kensington Park,,Serangoon,Condo,3500,1259,999 Years,67,38,43,Unfurnished,11,none_nearby,none_nearby,Freehold,8.160518247477505
"'Clubhouse', 'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Squash Court', 'Tennis Court', 'Parking', 'Security', 'BBQ', 'Games Room''",4,Spring Grove Development Pte Ltd (City Developments Ltd),D10,Tanjong Pagar,Flexible,Spring Grove,,Tanglin,Condo,3800,1012,99 Years,62,17,26,Unknown,11,none_nearby,none_nearby,Non-Freehold,8.242756345714477
"'Clubhouse', 'Aircon', 'Gym', 'Sauna', 'Swimming Pool', 'Squash Court', 'Playground', 'Parking', 'Security', 'Patio / PES', 'Tennis Court', 'Balcony''",4,Parkway Land Pte Ltd,D10,Tanjong Pagar,Flexible,Astrid Meadows,,Bukit Timah,Condo,16000,3809,Freehold,82,29,41,Partially Furnished,12,none_nearby,none_nearby,Freehold,9.680344001221918
"'Bathtub', 'Aircon', 'Closet', 'Stove', 'Fridge', 'Swimming Pool', 'Utility Room', 'Playground', 'Parking', 'Mid Floor', 'Security', 'Pool View', 'Gym', 'BBQ''",2,Hillwood Development Pte Ltd / Hoi Hup Realty Pte Ltd,D14,MacPherson,Flexible,Paya Lebar Residences,Paya Lebar MRT,Geylang,Condo,3100,947,Freehold,41,25,17,Unknown,14,2,78,Freehold,8.039157390473237
"'Retail', 'Security', 'Aircon', 'TV', 'Greenery View', 'Gym', 'Fridge', 'Bed', 'Lounge', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Parking', 'Washer', 'Sky Terrace', 'Lap Pool', 'Stove', 'BBQ', 'Balcony''",2,Uol/Kheng Leong/Low Keng Huat,D05,West Coast,Flexible,One North Residences,One-North MRT,Queenstown,Condo,4000,980,99 Years,72,32,28,Fully Furnished,20,5,9,Non-Freehold,8.294049640102028
"'City View', 'Security', 'Loft', 'Aircon', 'TV', 'Sofa', 'Stove', 'Parking', 'Fridge', 'Bed', 'Sauna', 'Jacuzzi', 'Swimming Pool', 'Dryer', 'Oven', 'Dining Room Furniture', 'High Floor', 'Washer', 'Lap Pool', 'Gym''",1,Natwest Development Pte Ltd (Far East Organization),D01,Jalan Besar,Flexible,The Clift,Telok Ayer MRT,None,Condo,4700,775,99 Years,54,23,11,Fully Furnished,20,4,29,Non-Freehold,8.45531778769815
"'Function Room', 'Pavilion', 'Sky Lounge', 'Gym', 'Pool Deck', 'Spa Pavilion', 'Sauna', 'Lounge', 'Swimming Pool', 'Wading Pool', 'Yoga Corner', 'Tennis Court', 'Fitness Corner', 'Parking', 'Security', 'Sky Terrace', 'Playground''",2,Frasers Centrepoint Homes,D11,Jalan Besar,Flexible,Soleil @ Sinaran,Novena MRT,Novena,Condo,4500,958,99 Years,60,12,18,Unknown,17,2,65,Non-Freehold,8.411832675758411
"'Clubhouse', 'Fitness Corner', 'Aircon', 'Stove', 'Fridge', 'Dryer', 'Tennis Court', 'Oven', 'Parking', 'Washer', 'Security', 'BBQ''",2,Cathay Organisation Holdings Ltd,D09,Tanjong Pagar,less_than_24m,The Cathay Residences,Dhoby Ghaut MRT,None,Condo,5500,1200,Freehold,48,11,10,Unknown,12,3,22,Freehold,8.612503371220562
"'Jogging Track', 'Clubhouse', 'Jet Pool', 'Water Feature', 'Gym', 'Spa Pavilion', 'Wading Pool', 'Steam Room', 'Playground', 'Fitness Corner', 'Lap Pool', 'BBQ', 'Tennis Court''",1,Nanshan Group,D20,Bishan-Toa Payoh,Flexible,Thomson Impressions,,Bishan,Condo,2200,462,99 Years,64,32,40,Unknown,13,none_nearby,none_nearby,Non-Freehold,7.696212639346407
"'High Ceiling', 'Stove', 'Oven', 'Parking', 'City View', 'Renovated', 'Closet', 'Greenery View', 'Utility Room', 'Washer', 'Pool View', 'BBQ', 'Gym', 'Fridge', 'Low Floor', 'Dryer', 'Patio / PES', 'Dishwasher', 'Fibre Ready', 'Aircon', 'Maid Room', 'Swimming Pool', 'Security', 'Bathtub''",4,Far East Organization,D10,Tanjong Pagar,Flexible,Orange Regency,,Tanglin,Condo,6300,1765,Freehold,60,15,25,Partially Furnished,24,none_nearby,none_nearby,Freehold,8.748304912379623
"'Multi-purpose Hall', 'Lounge', 'Pavilion', 'Clubhouse', 'Jacuzzi', 'Gym', 'Pool Deck', 'Concierge', 'Mini Golf Range', 'Wading Pool', 'Hydrotherapy Pool', 'Fitness Corner', 'Outdoor Dining', 'Lap Pool', 'BBQ''",1,Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.,D01,Jalan Besar,Flexible,Marina One Residences,Marina Bay MRT,None,Condo,4200,732,99 Years,50,16,8,Unknown,15,2,60,Non-Freehold,8.34283980427146
"'Clubhouse', 'Stove', 'Walk In Closet', 'Sea View', 'Oven', 'Mid Floor', 'Outdoor Dining', 'Balcony', 'Pool Deck', 'Lounge', 'Wading Pool', 'Hydrotherapy Pool', 'Washer', 'BBQ', 'Gym', 'Fridge', 'Dryer', 'Multi-purpose Hall', 'Concierge', 'Pavilion', 'Aircon', 'Mini Golf Range', 'Jacuzzi', 'Study Room', 'Fitness Corner', 'Lap Pool''",2,Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.,D01,Jalan Besar,Flexible,Marina One Residences,Marina Bay MRT,None,Condo,5500,1141,99 Years,50,16,8,Partially Furnished,26,2,60,Non-Freehold,8.612503371220562
"'Gym', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', 'BBQ''",1,Ue One-North Developments Pte Ltd,D05,West Coast,Flexible,The Rochester Residences,Buona Vista MRT,Queenstown,Condo,3600,861,99 Years,70,27,22,Unknown,8,3,75,Non-Freehold,8.1886891244442
"'Function Room', 'Retail Shops', 'Gym', 'Pool Deck', 'Rooftop Pool', 'Spa Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Viewing Deck', 'Underwater Fitness Station', 'Outdoor Dining', 'Sauna', 'Lap Pool', 'BBQ', 'Open Terrace''",2,M+S Pte Ltd (A Company Owned By Khazanah And Temasek),D07,Jalan Besar,Flexible,Duo Residences / Duo Tower,Bugis MRT,None,Condo,5000,969,99 Years,50,20,12,Unknown,16,3,46,Non-Freehold,8.517193191416238
"'Loft', 'Aircon', 'Gym', 'Sauna', 'Swimming Pool', 'Jacuzzi', 'Parking', 'Security', 'Lap Pool''",1,Natwest Development Pte Ltd (Far East Organization),D01,Jalan Besar,Flexible,The Clift,Telok Ayer MRT,None,Condo,4700,775,99 Years,54,23,11,Fully Furnished,9,4,29,Non-Freehold,8.45531778769815
"'Fun Pool', 'Clubhouse', 'Function Room', 'Pavilion', 'Water Feature', 'Gym', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Pond', 'Security', 'BBQ', 'Tennis Court''",2,Sherwood Development Pte Ltd,D09,Tanjong Pagar,Flexible,Urbana,Somerset MRT,River Valley,Condo,4500,1012,Freehold,60,16,17,Unknown,16,7,61,Freehold,8.411832675758411
"'Clubhouse', 'Sky Lounge', 'Pool Deck', 'Rooftop Pool', 'Lounge', 'Hydrotherapy Pool', 'Playground', 'Fitness Corner', 'Outdoor Dining', 'Retail Shops', 'Lap Pool', 'BBQ', 'Tennis Court''",1,"Far East Organization,Frasers Centrepoint,Sekisui House",D16,East Coast,Flexible,Eco,Tanah Merah MRT,Bedok,Condo,2200,550,99 Years,33,38,30,Unknown,13,5,29,Non-Freehold,7.696212639346407
"'Function Room', 'Pavilion', 'Gym', 'Pool Deck', 'Swimming Pool', 'Jacuzzi', 'Tennis Court', 'Fitness Corner', 'Parking', 'Security', 'Sky Terrace', 'BBQ', 'Playground''",2,Sing Holdings (Cairnhill) Pte Ltd,D09,Tanjong Pagar,Flexible,The Laurels,Somerset MRT,Newton,Condo,5000,883,Freehold,51,14,16,Partially Furnished,13,7,18,Freehold,8.517193191416238
"'Jet Pool', 'Yoga Corner', 'Pavilion', 'Hammocks', 'Pool Deck', 'Swimming Pool', 'Wading Pool', 'Fitness Corner', 'BBQ''",2,Roxy-Pacific Holdings,D14,Aljunied,Flexible,The Navian,,Bedok,Condo,2900,646,Freehold,46,30,28,Unknown,9,none_nearby,none_nearby,Freehold,7.9724660159745655
"'Gym', 'Viewing Deck', 'Wading Pool', 'Spa Pool', 'Tennis Court', 'Parking', 'Security', 'Lap Pool''",2,Serangoon Ec Pte Ltd,D19,Hougang,Flexible,Heron Bay,,Hougang,Executive Condo,3500,1100,99 Years,56,44,44,Unknown,8,none_nearby,none_nearby,Non-Freehold,8.160518247477505
"'Clubhouse', 'Aircon', 'Gym', 'Fridge', 'Sauna', 'Low Floor', 'Swimming Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Washer', 'Lap Pool', 'Balcony''",3,Winquest Investment Pte Ltd (Wing Tai Holdings Ltd),D09,Tanjong Pagar,Flexible,Belle Vue Residences,Dhoby Ghaut MRT,River Valley,Condo,7800,1938,Freehold,58,16,15,Partially Furnished,13,6,86,Freehold,8.961879012677683
"'Fun Pool', 'Clubhouse', 'Function Room', 'Pavilion', 'Water Feature', 'Gym', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ', 'Tennis Court''",3,NTUC Choice Homes Co-Operative Limited,D20,Ang Mo Kio,Flexible,Grandeur 8,,Ang Mo Kio,Condo,3800,1227,99 Years,57,31,37,Unknown,15,none_nearby,none_nearby,Non-Freehold,8.242756345714477
"'Bomb Shelter', 'Security', 'Closet', 'Aircon', 'TV', 'Sofa', 'Stove', 'Parking', 'Fridge', 'Bed', 'Jacuzzi', 'Swimming Pool', 'Dryer', 'Dining Room Furniture', 'High Floor', 'Washer', 'Gym''",1,Fortune Estate Pte Ltd,D10,Tanjong Pagar,Flexible,Rv Edge,,Tanglin,Condo,2400,474,Freehold,64,18,27,Fully Furnished,17,none_nearby,none_nearby,Freehold,7.783224016336037
"'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Bomb Shelter', 'Renovated', 'Closet', 'TV', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'BBQ', 'Gym', 'Fridge', 'Tennis Court', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'Fitness Corner', 'High Floor', 'Security', 'Bathtub''",3,Whitewater Properties P L (Far East Organization),D18,Pasir Ris-Punggol,Flexible,Whitewater,,Pasir Ris,Executive Condo,2600,1152,99 Years,33,47,46,Fully Furnished,23,none_nearby,none_nearby,Non-Freehold,7.8632667240095735
"'Aircon', 'Maid Room', 'Greenery View', 'Fridge', 'Dryer', 'Oven', 'Washer', 'Bathtub', 'Balcony''",4,,D10,Tanjong Pagar,greater_than_or_equal_24m,Oei Tiong Ham Park Residences,Holland Village MRT,Bukit Timah,Condo,14000,4822,Freehold,69,22,28,Unknown,9,5,84,Freehold,9.546812608597396
',2,,D22,West Coast,Flexible,19 Jurong West Avenue 5,,Jurong West,Condo,1500,538,-,92,54,45,Unknown,1,none_nearby,none_nearby,-,7.313220387090301
"'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Parking', 'Security''",3,Lucky Realty Co. Pte Ltd (Far East),D10,Tanjong Pagar,Flexible,Grange 70,,River Valley,Condo,6000,1755,Freehold,61,16,24,Unknown,8,none_nearby,none_nearby,Freehold,8.699514748210191
"'City View', 'Security', 'Aircon', 'Closet', 'Squash Court', 'Greenery View', 'Fridge', 'Swimming Pool', 'Dryer', 'Tennis Court', 'Oven', 'Parking', 'High Floor', 'Washer', 'Fibre Ready', 'Stove''",1,Vihin Realty Pte Ltd,D11,Jalan Besar,greater_than_or_equal_24m,Pastoral View,Novena MRT,Novena,Condo,3000,650,Freehold,65,17,23,Fully Furnished,16,7,45,Freehold,8.006367567650246
"'Jogging Track', 'Jet Pool', 'Yoga Corner', 'Rooftop Pool', 'Spa Pavilion', 'Sauna', 'Lounge', 'Wading Pool', 'Function Room', 'Steam Room', 'Tennis Court', 'Fitness Corner', 'Outdoor Dining', 'Reflexology Path', 'BBQ', 'Sky Terrace''",3,Bukit Timah Green Development Pte Ltd,D23,Holland-Bukit Timah,Flexible,The Skywoods,Hillview MRT,Bukit Panjang,Condo,3700,1066,99 Years,72,33,40,Unknown,16,7,68,Non-Freehold,8.216088098632316
"'Swimming Pool', 'Security', 'BBQ', 'Parking''",3,Pine Tree Condominium Pte Ltd,D10,Tanjong Pagar,Flexible,Pinetree Condominium,,Tanglin,Condo,3800,1173,Freehold,60,13,23,Unknown,4,none_nearby,none_nearby,Freehold,8.242756345714477
"'High Ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Bomb Shelter', 'Renovated', 'Closet', 'TV', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'Loft', 'Gym', 'City View', 'Fridge', 'Dryer', 'Sauna', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'High Floor', 'Security', 'Lap Pool''",1,Natwest Development Pte Ltd (Far East Organization),D01,Jalan Besar,Flexible,The Clift,Telok Ayer MRT,None,Condo,4350,775,99 Years,54,23,11,Fully Furnished,25,4,29,Non-Freehold,8.37793112408273
"'Gym', 'Pool Deck', 'Jacuzzi', 'Parking', 'Security', 'Lap Pool', 'BBQ', 'Sky Terrace''",2,Macly Pte Ltd,D11,Jalan Besar,Flexible,Zedge,Novena MRT,Novena,Condo,2900,753,Freehold,65,17,23,Unknown,8,7,44,Freehold,7.9724660159745655
"'Clubhouse', 'High Ceiling', 'Stove', 'Sea View', 'Oven', 'Parking', 'Balcony', 'City View', 'Renovated', 'Closet', 'TV', 'Greenery View', 'Duplex / Maisonette', 'Wading Pool', 'Utility Room', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'BBQ', 'Loft', 'Gym', 'Fridge', 'Dryer', 'Tennis Court', 'Patio / PES', 'Basketball Court', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'High Floor', 'Security', 'Lap Pool''",2,Bishan Properties Pte Ltd,D02,Jalan Besar,Flexible,Altez,Tanjong Pagar MRT,None,Condo,8400,1173,99 Years,58,22,10,Fully Furnished,33,3,53,Non-Freehold,9.035986984831405
"'Gym', 'Swimming Pool', 'Wading Pool', 'Parking', 'Security', 'BBQ''",1,M.E. Holdings Pte Ltd,D09,Tanjong Pagar,Flexible,Emily Residence,Little India MRT,None,Condo,2900,657,Freehold,52,20,18,Unknown,6,4,52,Freehold,7.9724660159745655
"'Fitness Corner', 'Renovated', 'Aircon', 'TV', 'Sofa', 'Oven', 'Gym', 'Fridge', 'Dual Key', 'Swimming Pool', 'Jacuzzi', 'Bed', 'Audio System', 'Mid Floor', 'Dining Room Furniture', 'Fibre Ready', 'Stove', 'BBQ', 'Closet''",1,Goodland Assets Pte Ltd,D08,Jalan Besar,greater_than_or_equal_24m,The Citron Residences,Farrer Park MRT,Kallang,Condo,2400,350,Freehold,49,21,20,Fully Furnished,19,4,20,Freehold,7.783224016336037
"'Open Terrace', 'Gym', 'Pool Deck', 'Swimming Pool', 'Parking', 'Security''",2,Oxley Mosaic Pte Ltd,D09,Tanjong Pagar,Flexible,Oxley Edge,,River Valley,Condo,2800,431,Freehold,60,16,17,Unknown,6,none_nearby,none_nearby,Freehold,7.937374696163295
"'Clubhouse', 'Gym', 'Swimming Pool', 'Squash Court', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'Tennis Court''",4,Lucky Square Pte Ltd (Far East Organization),D09,Tanjong Pagar,Flexible,Leonie Condotel,Somerset MRT,River Valley,Condo,9600,2722,Freehold,64,19,27,Unknown,9,8,2,Freehold,9.169518377455928
"'Basketball Court', 'Gym', 'Pool Deck', 'Swimming Pool', 'Jacuzzi', 'Tennis Court', 'Parking', 'Security''",1,Bs Shenton Pte Ltd,D02,Jalan Besar,greater_than_or_equal_24m,Lumiere,Tanjong Pagar MRT,None,Condo,3200,678,99 Years,57,22,10,Fully Furnished,8,3,42,Non-Freehold,8.070906088787819
"'Fitness Corner', 'Bathtub', 'Renovated', 'Aircon', 'Squash Court', 'Gym', 'Fridge', 'Bed', 'Sauna', 'Swimming Pool', 'Dryer', 'Playground', 'Oven', 'Parking', 'High Floor', 'Washer', 'Pool View', 'Security', 'BBQ', 'Tennis Court''",3,Dillingham Land Singapore,D10,Holland-Bukit Timah,Flexible,Ridgewood Condominium,Dover MRT,Bukit Timah,Condo,3900,1399,999 Years,75,37,27,Partially Furnished,20,9,11,Freehold,8.268731832117737
